TamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,segundos
8192,64,40,0,70,429664,0.429664
8192,64,40,0,10,432199,0.432199
8192,32,40,0,50,437449,0.437449
4096,16,40,0,30,437669,0.437669
4096,16,40,0,50,438521,0.438521
8192,64,40,0,20,443860,0.44386
8192,32,40,0,80,444652,0.444652
4096,16,40,0,0,445143,0.445143
8192,32,40,0,30,447728,0.447728
8192,64,40,0,30,450573,0.450573
4096,32,40,0,50,451454,0.451454
8192,32,40,0,0,453398,0.453398
4096,32,40,0,40,454129,0.454129
8192,32,40,0,60,457125,0.457125
