tamanhoMem,minBloco,requisicoes, - ,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,2,50,1,10,1,0.04,0.06,0.01,42216
1024,2,50,1,20,1,0.04,0.05,0.02,41984
1024,2,50,1,30,1,0.04,0.04,0.03,42004
1024,2,50,1,40,1,0.04,0.06,0.01,41996
1024,2,50,1,50,1,0.04,0.06,0.02,42316
1024,2,50,1,60,1,0.04,0.05,0.02,41996
1024,2,50,1,70,1,0.04,0.05,0.02,42024
1024,2,50,1,80,1,0.04,0.05,0.02,42320
1024,2,50,1,90,1,0.04,0.06,0.01,41688
1024,2,50,1,100,1,0.04,0.05,0.02,42444
1024,2,60,1,0,1,0.04,0.05,0.02,42152
1024,2,60,1,10,1,0.05,0.06,0.02,42324
1024,2,60,1,20,1,0.04,0.06,0.02,42364
1024,2,60,1,30,1,0.04,0.06,0.02,42052
1024,2,60,1,40,1,0.04,0.06,0.01,42304
1024,2,60,1,50,1,0.04,0.05,0.02,42412
1024,2,60,1,60,1,0.05,0.05,0.02,42076
1024,2,60,1,70,1,0.04,0.05,0.02,42504
1024,2,60,1,80,1,0.04,0.05,0.02,42340
1024,2,60,1,90,1,0.04,0.06,0.02,42168
1024,2,60,1,100,1,0.04,0.05,0.02,42368
1024,2,100,1,0,1,0.04,0.07,0.01,43620
1024,2,100,1,10,1,0.04,0.06,0.02,43124
1024,2,100,1,20,1,0.05,0.06,0.02,43920
1024,2,100,1,30,1,0.05,0.06,0.02,43536
1024,2,100,1,40,1,0.05,0.06,0.02,43292
1024,2,100,1,50,1,0.04,0.06,0.02,43064
1024,2,100,1,60,1,0.05,0.07,0.01,43576
1024,2,100,1,70,1,0.05,0.06,0.02,44000
1024,2,100,1,80,1,0.05,0.07,0.02,43128
1024,2,100,1,90,1,0.05,0.06,0.02,43716
1024,2,100,1,100,1,0.04,0.06,0.02,43912
1024,2,1000,1,0,1,0.06,0.09,0.02,44304
1024,2,1000,1,10,1,0.06,0.08,0.03,44860
1024,2,1000,1,20,1,0.06,0.09,0.02,44508
1024,2,1000,1,30,1,0.06,0.08,0.02,44740
1024,2,1000,1,40,1,0.06,0.09,0.02,44348
1024,2,1000,1,50,1,0.06,0.09,0.02,44872
1024,2,1000,1,60,1,0.06,0.09,0.02,44644
1024,2,1000,1,70,1,0.06,0.09,0.02,45016
1024,2,1000,1,80,1,0.06,0.09,0.02,44868
1024,2,1000,1,90,1,0.06,0.09,0.02,44680
1024,2,1000,1,100,1,0.06,0.09,0.02,44552
1024,4,10,1,0,1,0.04,0.04,0.02,41472
1024,4,10,1,10,1,0.04,0.04,0.01,41832
1024,4,10,1,20,1,0.04,0.04,0.02,41796
1024,4,10,1,30,1,0.04,0.03,0.02,41756
1024,4,10,1,40,1,0.03,0.04,0.02,41804
1024,4,10,1,50,1,0.03,0.04,0.01,41456
1024,4,10,1,60,1,0.03,0.04,0.02,41656
1024,4,10,1,70,1,0.04,0.04,0.01,41732
1024,4,10,1,80,1,0.04,0.03,0.02,41724
1024,4,10,1,90,1,0.04,0.04,0.01,41484
1024,4,10,1,100,1,0.04,0.04,0.02,41760
1024,4,20,1,0,1,0.04,0.04,0.02,41780
1024,4,20,1,10,1,0.04,0.05,0.01,41664
1024,4,20,1,20,1,0.05,0.05,0.02,41740
1024,4,20,1,30,1,0.04,0.05,0.01,41932
1024,4,20,1,40,1,0.04,0.04,0.02,41768
1024,4,20,1,50,1,0.04,0.04,0.02,41624
1024,4,20,1,60,1,0.05,0.05,0.02,41828
1024,4,20,1,70,1,0.04,0.04,0.02,41764
1024,4,20,1,80,1,0.05,0.05,0.02,41708
1024,4,20,1,90,1,0.05,0.04,0.02,41672
1024,4,20,1,100,1,0.04,0.05,0.01,42100
1024,4,30,1,0,1,0.05,0.05,0.02,41784
1024,4,30,1,10,1,0.04,0.05,0.02,42356
1024,4,30,1,20,1,0.05,0.05,0.02,41552
1024,4,30,1,30,1,0.04,0.05,0.01,42072
1024,4,30,1,40,1,0.04,0.05,0.02,42532
1024,4,30,1,50,1,0.04,0.05,0.01,41900
1024,4,30,1,60,1,0.04,0.05,0.02,42140
1024,4,30,1,70,1,0.04,0.04,0.02,41928
1024,4,30,1,80,1,0.04,0.04,0.02,41920
1024,4,30,1,90,1,0.04,0.04,0.02,41972
1024,4,30,1,100,1,0.04,0.05,0.02,42196
1024,4,40,1,0,1,0.04,0.05,0.02,42004
1024,4,40,1,10,1,0.04,0.05,0.02,41772
1024,4,40,1,20,1,0.04,0.05,0.02,41600
1024,4,40,1,30,1,0.04,0.05,0.02,42188
1024,4,40,1,40,1,0.04,0.05,0.02,41972
1024,4,40,1,50,1,0.04,0.05,0.02,42104
1024,4,40,1,60,1,0.04,0.06,0.01,42048
1024,4,40,1,70,1,0.04,0.05,0.02,42444
1024,4,40,1,80,1,0.04,0.06,0.01,42056
1024,4,40,1,90,1,0.04,0.05,0.02,42160
1024,4,40,1,100,1,0.04,0.05,0.02,42272
1024,4,50,1,0,1,0.04,0.05,0.02,42476
1024,4,50,1,10,1,0.04,0.05,0.02,42168
1024,4,50,1,20,1,0.04,0.06,0.01,42172
1024,4,50,1,30,1,0.04,0.06,0.01,41848
1024,4,50,1,40,1,0.04,0.05,0.02,42232
1024,4,50,1,50,1,0.04,0.04,0.03,42064
1024,4,50,1,60,1,0.04,0.06,0.01,42044
1024,4,50,1,70,1,0.04,0.05,0.02,42192
1024,4,50,1,80,1,0.04,0.05,0.02,42080
1024,4,50,1,90,1,0.04,0.05,0.02,42048
1024,4,50,1,100,1,0.04,0.05,0.02,42272
1024,4,60,1,0,1,0.05,0.05,0.02,42188
1024,4,60,1,10,1,0.05,0.06,0.02,41972
1024,4,60,1,20,1,0.05,0.06,0.02,42168
1024,4,60,1,30,1,0.05,0.06,0.01,41800
1024,4,60,1,40,1,0.04,0.06,0.02,42404
1024,4,60,1,50,1,0.05,0.05,0.02,41796
1024,4,60,1,60,1,0.05,0.05,0.02,42240
1024,4,60,1,70,1,0.05,0.05,0.02,42188
1024,4,60,1,80,1,0.05,0.05,0.02,41876
1024,4,60,1,90,1,0.05,0.06,0.01,42616
1024,4,60,1,100,1,0.04,0.06,0.02,42496
1024,4,100,1,0,1,0.05,0.06,0.02,43272
1024,4,100,1,10,1,0.05,0.07,0.02,43288
1024,4,100,1,20,1,0.05,0.07,0.01,42948
1024,4,100,1,30,1,0.05,0.07,0.02,42896
1024,4,100,1,40,1,0.05,0.06,0.02,43044
1024,4,100,1,50,1,0.04,0.06,0.02,43004
1024,4,100,1,60,1,0.05,0.06,0.02,43708
1024,4,100,1,70,1,0.05,0.06,0.03,43112
1024,4,100,1,80,1,0.05,0.06,0.02,42988
