tamanhoBuffer,min,max,numExecucao,numRemocao,numCompactacao,garbagePercent,bloco,tamanhoMedioReq,tamanhoMedioBloco,tempo
8192,16,1024,1000,71002,984,20,1,531,531,1775607182
8192,16,1024,1000,85588,984,20,1,520,520,2052908115
8192,16,1024,1000,76685,982,20,1,518,518,1917313335
8192,16,1024,1000,87219,988,20,1,524,524,2138842998
8192,16,1024,1000,61105,985,20,1,547,547,1520635574
8192,16,1024,1000,81456,983,20,1,525,525,1959120739
8192,16,1024,1000,80233,984,20,1,523,523,1972399716
8192,16,1024,1000,79617,987,20,1,524,524,2002690088
8192,16,1024,1000,103176,986,20,1,531,531,2435582671
16384,16,1024,1000,2393,972,20,1,525,525,167434685
16384,16,1024,1000,1033,973,20,1,504,504,116649568
16384,16,1024,1000,2221,971,20,1,515,515,151340409
16384,16,1024,1000,5334,967,20,1,511,511,266031477
16384,16,1024,1000,1140,971,20,1,508,508,115542209
16384,16,1024,1000,4116,966,20,1,525,525,229023566
16384,16,1024,1000,2269,968,20,1,507,507,163312114
16384,16,1024,1000,3148,969,20,1,524,524,181861074
16384,16,1024,1000,3122,972,20,1,518,518,192426191
16384,16,1024,1000,334,968,20,1,524,524,89069940
1024,16,1024,1000,21097,998,30,1,520,520,194143664
1024,16,1024,1000,15556,997,30,1,523,523,168691465
1024,16,1024,1000,18951,996,30,1,530,530,221737549
1024,16,1024,1000,19658,998,30,1,510,510,179594152
1024,16,1024,1000,16963,997,30,1,524,524,154062627
1024,16,1024,1000,19927,998,30,1,510,510,178495266
1024,16,1024,1000,18484,998,30,1,525,525,203024118
1024,16,1024,1000,18649,997,30,1,502,502,184830599
1024,16,1024,1000,21849,998,30,1,513,513,197745031
1024,16,1024,1000,13548,997,30,1,548,548,141404926
2048,16,1024,1000,68958,996,30,1,528,528,718708973
2048,16,1024,1000,73038,996,30,1,502,502,764857710
2048,16,1024,1000,81617,995,30,1,517,517,862964799
2048,16,1024,1000,91032,996,30,1,529,529,906150436
2048,16,1024,1000,77087,994,30,1,526,526,826874601
2048,16,1024,1000,97219,994,30,1,531,531,1000171718
2048,16,1024,1000,81785,994,30,1,506,506,829528764
2048,16,1024,1000,84522,994,30,1,514,514,876141022
2048,16,1024,1000,85566,996,30,1,528,528,892853967
2048,16,1024,1000,88594,993,30,1,508,508,934081915
4096,16,1024,1000,74867,993,30,1,508,508,1299448297
4096,16,1024,1000,79580,991,30,1,514,514,1333170187
4096,16,1024,1000,63279,992,30,1,535,535,1051222488
4096,16,1024,1000,64604,992,30,1,509,509,1086266804
4096,16,1024,1000,64675,991,30,1,526,526,1049700949
4096,16,1024,1000,77306,990,30,1,522,522,1230686199
4096,16,1024,1000,55301,991,30,1,517,517,943857805
4096,16,1024,1000,74273,995,30,1,532,532,1224186123
4096,16,1024,1000,66243,991,30,1,515,515,1121067719
4096,16,1024,1000,78254,994,30,1,532,532,1259301375
8192,16,1024,1000,11357,987,30,1,531,531,316982543
8192,16,1024,1000,5095,988,30,1,526,526,174302536
8192,16,1024,1000,10108,985,30,1,527,527,300278172
8192,16,1024,1000,1268,988,30,1,519,519,98149716
8192,16,1024,1000,4229,986,30,1,508,508,165330239
8192,16,1024,1000,10371,982,30,1,507,507,310468345
8192,16,1024,1000,7478,988,30,1,522,522,235080906
8192,16,1024,1000,14399,983,30,1,525,525,400903124
8192,16,1024,1000,3364,982,30,1,513,513,142094388
8192,16,1024,1000,5111,985,30,1,513,513,182344129
16384,16,1024,1000,131,968,30,1,518,518,80595758
16384,16,1024,1000,125,968,30,1,519,519,81534267
16384,16,1024,1000,136,974,30,1,527,527,76925123
16384,16,1024,1000,123,975,30,1,507,507,76878188
16384,16,1024,1000,127,970,30,1,526,526,75915385
16384,16,1024,1000,126,975,30,1,517,517,74737634
16384,16,1024,1000,133,969,30,1,522,522,73122302
16384,16,1024,1000,133,982,30,1,517,517,76503386
16384,16,1024,1000,130,973,30,1,527,527,69222233
16384,16,1024,1000,125,967,30,1,518,518,76474505
1024,16,1024,1000,13665,997,40,1,514,514,140342597
1024,16,1024,1000,20884,998,40,1,509,509,173230889
1024,16,1024,1000,17674,998,40,1,522,522,163476193
1024,16,1024,1000,15339,998,40,1,516,516,162190442
1024,16,1024,1000,17807,996,40,1,520,520,155054585
1024,16,1024,1000,16660,997,40,1,523,523,185702057
1024,16,1024,1000,18011,998,40,1,529,529,163726737
1024,16,1024,1000,19238,997,40,1,504,504,175823819
1024,16,1024,1000,16057,998,40,1,525,525,160925665
1024,16,1024,1000,15752,998,40,1,526,526,158896879
2048,16,1024,1000,55752,994,40,1,524,524,573737447
2048,16,1024,1000,69054,996,40,1,511,511,770385562
2048,16,1024,1000,63648,994,40,1,524,524,690361808
2048,16,1024,1000,64886,997,40,1,514,514,680121797
2048,16,1024,1000,66229,994,40,1,523,523,681831623
2048,16,1024,1000,60136,996,40,1,530,530,649157192
2048,16,1024,1000,61987,997,40,1,514,514,645239461
2048,16,1024,1000,72148,997,40,1,519,519,769475365
2048,16,1024,1000,68403,994,40,1,524,524,722097895
2048,16,1024,1000,62813,997,40,1,527,527,637360141
4096,16,1024,1000,22636,995,40,1,519,519,397438901
4096,16,1024,1000,22211,994,40,1,512,512,406284189
4096,16,1024,1000,16895,992,40,1,508,508,319564417
4096,16,1024,1000,24082,993,40,1,523,523,440887005
4096,16,1024,1000,15326,994,40,1,520,520,279669091
4096,16,1024,1000,16638,992,40,1,509,509,335619252
4096,16,1024,1000,13519,993,40,1,497,497,264013068
