tamanhoMem,minBloco,requisicoes, - ,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,4,100,1,60,1,0.03,0.01,0.01,38072
1024,4,100,1,70,1,0.03,0.01,0.01,38228
1024,4,100,1,80,1,0.02,0.01,0.01,38176
1024,4,100,1,90,1,0.02,0.01,0.01,38200
1024,4,100,1,100,1,0.02,0.01,0.01,37940
1024,4,1000,1,0,1,0.03,0.01,0.01,38720
1024,4,1000,1,10,1,0.03,0.01,0.01,38740
1024,4,1000,1,20,1,0.02,0.01,0.01,39108
1024,4,1000,1,30,1,0.03,0.01,0.02,38792
1024,4,1000,1,40,1,0.03,0.01,0.01,38564
1024,4,1000,1,50,1,0.03,0.02,0.01,38800
1024,4,1000,1,60,1,0.03,0.01,0.01,39108
1024,4,1000,1,70,1,0.02,0.01,0.01,38764
1024,4,1000,1,80,1,0.02,0.01,0.01,38644
1024,4,1000,1,90,1,0.03,0.01,0.01,38560
1024,4,1000,1,100,1,0.02,0.01,0.01,38860
1024,8,10,1,0,1,0.02,0.01,0.01,38176
1024,8,10,1,10,1,0.02,0.01,0.01,38456
1024,8,10,1,20,1,0.02,0.01,0.01,38128
1024,8,10,1,30,1,0.02,0.01,0.01,38088
1024,8,10,1,40,1,0.02,0.01,0.01,37968
1024,8,10,1,50,1,0.02,0.01,0.01,38072
1024,8,10,1,60,1,0.02,0.01,0.01,38132
1024,8,10,1,70,1,0.02,0.01,0.01,38112
1024,8,10,1,80,1,0.02,0.01,0.01,38276
1024,8,10,1,90,1,0.02,0.01,0.01,38536
1024,8,10,1,100,1,0.02,0.01,0.01,38248
1024,8,20,1,0,1,0.02,0.01,0.01,38200
1024,8,20,1,10,1,0.02,0.01,0.01,37868
1024,8,20,1,20,1,0.01,0.01,0.01,38272
1024,8,20,1,30,1,0.02,0.01,0.01,38256
1024,8,20,1,40,1,0.02,0.01,0.01,38372
1024,8,20,1,50,1,0.02,0.01,0.01,38048
1024,8,20,1,60,1,0.02,0.01,0.01,38172
1024,8,20,1,70,1,0.02,0.01,0.01,38188
1024,8,20,1,80,1,0.02,0.01,0.01,37996
1024,8,20,1,90,1,0.02,0.00,0.01,38176
1024,8,20,1,100,1,0.02,0.01,0.01,38336
1024,8,30,1,0,1,0.02,0.00,0.02,38372
1024,8,30,1,10,1,0.02,0.01,0.01,38128
1024,8,30,1,20,1,0.02,0.01,0.01,38184
1024,8,30,1,30,1,0.02,0.01,0.01,38452
1024,8,30,1,40,1,0.02,0.01,0.01,38088
1024,8,30,1,50,1,0.02,0.01,0.01,38172
1024,8,30,1,60,1,0.02,0.01,0.01,38556
1024,8,30,1,70,1,0.02,0.01,0.01,38092
1024,8,30,1,80,1,0.02,0.01,0.01,38312
1024,8,30,1,90,1,0.02,0.01,0.01,38488
1024,8,30,1,100,1,0.02,0.01,0.01,37924
1024,8,40,1,0,1,0.01,0.01,0.01,38512
1024,8,40,1,10,1,0.02,0.01,0.01,38464
1024,8,40,1,20,1,0.02,0.01,0.01,38008
1024,8,40,1,30,1,0.02,0.00,0.01,38220
1024,8,40,1,40,1,0.02,0.01,0.01,38356
1024,8,40,1,50,1,0.02,0.01,0.01,38152
1024,8,40,1,60,1,0.02,0.01,0.01,38300
1024,8,40,1,70,1,0.02,0.01,0.01,38028
1024,8,40,1,80,1,0.02,0.01,0.01,38232
1024,8,40,1,90,1,0.02,0.01,0.01,38024
1024,8,40,1,100,1,0.02,0.01,0.01,38208
1024,8,50,1,0,1,0.02,0.01,0.01,38080
1024,8,50,1,10,1,0.02,0.01,0.01,38300
1024,8,50,1,20,1,0.02,0.01,0.01,38276
1024,8,50,1,30,1,0.02,0.01,0.01,38116
1024,8,50,1,40,1,0.02,0.01,0.01,38148
1024,8,50,1,50,1,0.02,0.01,0.01,38200
1024,8,50,1,60,1,0.02,0.00,0.02,38096
1024,8,50,1,70,1,0.02,0.01,0.01,37948
1024,8,50,1,80,1,0.02,0.00,0.02,38652
1024,8,50,1,90,1,0.02,0.01,0.01,38260
1024,8,50,1,100,1,0.02,0.01,0.01,38484
1024,8,60,1,0,1,0.02,0.01,0.01,37960
1024,8,60,1,10,1,0.02,0.01,0.01,38488
1024,8,60,1,20,1,0.02,0.01,0.01,38392
1024,8,60,1,30,1,0.02,0.01,0.01,38036
1024,8,60,1,40,1,0.02,0.01,0.01,38472
1024,8,60,1,50,1,0.02,0.01,0.01,38204
1024,8,60,1,60,1,0.02,0.01,0.01,38244
1024,8,60,1,70,1,0.02,0.01,0.01,38164
1024,8,60,1,80,1,0.02,0.00,0.02,38344
1024,8,60,1,90,1,0.02,0.01,0.01,38320
1024,8,60,1,100,1,0.02,0.01,0.01,38116
1024,8,100,1,0,1,0.03,0.01,0.01,38268
1024,8,100,1,10,1,0.02,0.01,0.01,38528
1024,8,100,1,20,1,0.03,0.01,0.01,38268
1024,8,100,1,30,1,0.03,0.01,0.01,37964
1024,8,100,1,40,1,0.03,0.01,0.01,38284
1024,8,100,1,50,1,0.03,0.01,0.01,38100
1024,8,100,1,60,1,0.02,0.01,0.01,38328
1024,8,100,1,70,1,0.02,0.01,0.02,38092
1024,8,100,1,80,1,0.02,0.01,0.01,38248
1024,8,100,1,90,1,0.03,0.01,0.01,38548
1024,8,100,1,100,1,0.02,0.01,0.01,38120
1024,8,1000,1,0,1,0.03,0.01,0.01,38804
1024,8,1000,1,10,1,0.03,0.01,0.01,38896
1024,8,1000,1,20,1,0.03,0.01,0.02,38332
1024,8,1000,1,30,1,0.03,0.01,0.01,38768
1024,8,1000,1,40,1,0.03,0.02,0.01,38980
1024,8,1000,1,50,1,0.03,0.01,0.02,38856
1024,8,1000,1,60,1,0.03,0.01,0.01,38892
1024,8,1000,1,70,1,0.03,0.01,0.01,38688
1024,8,1000,1,80,1,0.03,0.01,0.02,38524
1024,8,1000,1,90,1,0.03,0.01,0.01,38244
1024,8,1000,1,100,1,0.03,0.01,0.02,38704
1024,16,10,1,0,1,0.02,0.01,0.01,38224
1024,16,10,1,10,1,0.02,0.01,0.01,38344
1024,16,10,1,20,1,0.02,0.01,0.01,38180
1024,16,10,1,30,1,0.02,0.01,0.01,38164
1024,16,10,1,40,1,0.02,0.01,0.01,38100
1024,16,10,1,50,1,0.02,0.01,0.01,38072
1024,16,10,1,60,1,0.02,0.01,0.01,38184
1024,16,10,1,70,1,0.02,0.01,0.01,37880
1024,16,10,1,80,1,0.02,0.01,0.01,38128
1024,16,10,1,90,1,0.02,0.01,0.01,37996
1024,16,10,1,100,1,0.02,0.01,0.01,38272
1024,16,20,1,0,1,0.02,0.01,0.01,38376
1024,16,20,1,10,1,0.02,0.01,0.01,38224
1024,16,20,1,20,1,0.02,0.01,0.01,38192
1024,16,20,1,30,1,0.02,0.01,0.01,38284
1024,16,20,1,40,1,0.02,0.01,0.02,38144
1024,16,20,1,50,1,0.02,0.01,0.01,38020
1024,16,20,1,60,1,0.02,0.01,0.01,38064
1024,16,20,1,70,1,0.02,0.01,0.01,38260
1024,16,20,1,80,1,0.02,0.01,0.01,38472
1024,16,20,1,90,1,0.02,0.01,0.01,38000
1024,16,20,1,100,1,0.02,0.01,0.01,38280
1024,16,30,1,0,1,0.02,0.00,0.02,38304
1024,16,30,1,10,1,0.02,0.00,0.02,38356
1024,16,30,1,20,1,0.02,0.01,0.01,38476
1024,16,30,1,30,1,0.02,0.01,0.01,38024
1024,16,30,1,40,1,0.02,0.01,0.01,38144
1024,16,30,1,50,1,0.02,0.01,0.01,38396
1024,16,30,1,60,1,0.02,0.01,0.01,38448
1024,16,30,1,70,1,0.02,0.01,0.01,38484
1024,16,30,1,80,1,0.02,0.01,0.01,38396
1024,16,30,1,90,1,0.02,0.01,0.01,38320
1024,16,30,1,100,1,0.02,0.01,0.01,38268
1024,16,40,1,0,1,0.02,0.01,0.01,37920
1024,16,40,1,10,1,0.02,0.00,0.02,38232
1024,16,40,1,20,1,0.02,0.01,0.01,38468
1024,16,40,1,30,1,0.02,0.01,0.01,38264
1024,16,40,1,40,1,0.02,0.01,0.01,37964
1024,16,40,1,50,1,0.02,0.01,0.01,38368
1024,16,40,1,60,1,0.02,0.01,0.01,38196
1024,16,40,1,70,1,0.02,0.01,0.01,38244
1024,16,40,1,80,1,0.02,0.01,0.01,38188
1024,16,40,1,90,1,0.02,0.01,0.01,38412
1024,16,40,1,100,1,0.02,0.01,0.01,38248
1024,16,50,1,0,1,0.02,0.01,0.01,38220
1024,16,50,1,10,1,0.02,0.01,0.01,37884
1024,16,50,1,20,1,0.02,0.00,0.02,38324
1024,16,50,1,30,1,0.02,0.00,0.02,38020
1024,16,50,1,40,1,0.02,0.01,0.01,38200
1024,16,50,1,50,1,0.02,0.00,0.02,38576
1024,16,50,1,60,1,0.02,0.01,0.01,38072
1024,16,50,1,70,1,0.02,0.01,0.01,38216
1024,16,50,1,80,1,0.02,0.01,0.01,37932
1024,16,50,1,90,1,0.02,0.01,0.01,37904
1024,16,50,1,100,1,0.02,0.01,0.01,38112
1024,16,60,1,0,1,0.02,0.01,0.01,38548
1024,16,60,1,10,1,0.02,0.01,0.01,38176
1024,16,60,1,20,1,0.02,0.01,0.02,38124
1024,16,60,1,30,1,0.02,0.01,0.01,38292
1024,16,60,1,40,1,0.02,0.01,0.01,38024
1024,16,60,1,50,1,0.02,0.01,0.01,38196
1024,16,60,1,60,1,0.02,0.01,0.01,38448
1024,16,60,1,70,1,0.02,0.01,0.01,38536
1024,16,60,1,80,1,0.02,0.00,0.02,38308
1024,16,60,1,90,1,0.02,0.01,0.01,38216
1024,16,60,1,100,1,0.02,0.01,0.01,37972
1024,16,100,1,0,1,0.02,0.01,0.01,38172
1024,16,100,1,10,1,0.02,0.01,0.01,38228
1024,16,100,1,20,1,0.02,0.01,0.01,38064
1024,16,100,1,30,1,0.02,0.01,0.01,37924
1024,16,100,1,40,1,0.02,0.01,0.02,38380
1024,16,100,1,50,1,0.02,0.01,0.01,38152
1024,16,100,1,60,1,0.02,0.01,0.01,38176
1024,16,100,1,70,1,0.02,0.01,0.01,38384
1024,16,100,1,80,1,0.02,0.01,0.01,38012
1024,16,100,1,90,1,0.02,0.01,0.02,38132
1024,16,100,1,100,1,0.02,0.01,0.01,38296
1024,16,1000,1,0,1,0.03,0.01,0.01,38676
1024,16,1000,1,10,1,0.03,0.01,0.01,38948
1024,16,1000,1,20,1,0.03,0.01,0.01,38836
1024,16,1000,1,30,1,0.03,0.01,0.02,39196
1024,16,1000,1,40,1,0.03,0.01,0.01,38816
1024,16,1000,1,50,1,0.03,0.01,0.01,38748
1024,16,1000,1,60,1,0.03,0.01,0.01,38800
1024,16,1000,1,70,1,0.03,0.01,0.01,38564
1024,16,1000,1,80,1,0.03,0.01,0.02,38832
1024,16,1000,1,90,1,0.03,0.01,0.01,38492
1024,16,1000,1,100,1,0.03,0.01,0.01,38988
1024,32,10,1,0,1,0.02,0.01,0.01,37932
1024,32,10,1,10,1,0.02,0.01,0.01,38216
1024,32,10,1,20,1,0.02,0.01,0.01,37800
1024,32,10,1,30,1,0.02,0.01,0.01,38508
1024,32,10,1,40,1,0.02,0.01,0.02,38348
1024,32,10,1,50,1,0.02,0.01,0.01,38108
1024,32,10,1,60,1,0.02,0.01,0.01,38428
1024,32,10,1,70,1,0.02,0.01,0.01,37964
1024,32,10,1,80,1,0.02,0.01,0.01,38500
1024,32,10,1,90,1,0.02,0.01,0.01,37972
1024,32,10,1,100,1,0.02,0.01,0.01,38328
1024,32,20,1,0,1,0.02,0.01,0.01,38208
1024,32,20,1,10,1,0.02,0.01,0.01,38572
1024,32,20,1,20,1,0.02,0.01,0.01,38180
1024,32,20,1,30,1,0.02,0.01,0.01,38252
1024,32,20,1,40,1,0.02,0.01,0.01,38108
1024,32,20,1,50,1,0.02,0.01,0.01,38328
1024,32,20,1,60,1,0.02,0.01,0.01,37972
1024,32,20,1,70,1,0.02,0.01,0.01,38196
1024,32,20,1,80,1,0.02,0.01,0.01,37812
1024,32,20,1,90,1,0.02,0.01,0.01,38192
1024,32,20,1,100,1,0.02,0.01,0.01,37920
1024,32,30,1,0,1,0.02,0.01,0.01,37960
1024,32,30,1,10,1,0.02,0.00,0.02,38100
1024,32,30,1,20,1,0.02,0.01,0.01,38724
1024,32,30,1,30,1,0.02,0.01,0.01,38128
1024,32,30,1,40,1,0.02,0.01,0.01,38012
1024,32,30,1,50,1,0.02,0.01,0.01,38088
1024,32,30,1,60,1,0.02,0.01,0.01,38184
1024,32,30,1,70,1,0.02,0.01,0.01,38160
1024,32,30,1,80,1,0.02,0.00,0.02,38448
1024,32,30,1,90,1,0.02,0.01,0.01,38324
1024,32,30,1,100,1,0.02,0.01,0.01,38356
1024,32,40,1,0,1,0.02,0.01,0.01,38196
1024,32,40,1,10,1,0.02,0.01,0.01,38296
1024,32,40,1,20,1,0.02,0.01,0.01,38200
1024,32,40,1,30,1,0.02,0.01,0.01,38028
1024,32,40,1,40,1,0.02,0.01,0.01,38516
1024,32,40,1,50,1,0.02,0.01,0.01,37356
1024,32,40,1,60,1,0.02,0.01,0.01,38252
1024,32,40,1,70,1,0.02,0.01,0.01,38040
1024,32,40,1,80,1,0.02,0.01,0.01,38272
1024,32,40,1,90,1,0.02,0.01,0.01,37948
1024,32,40,1,100,1,0.02,0.01,0.01,38248
1024,32,50,1,0,1,0.02,0.01,0.01,38288
1024,32,50,1,10,1,0.02,0.01,0.01,38352
1024,32,50,1,20,1,0.02,0.00,0.02,38176
1024,32,50,1,30,1,0.02,0.01,0.01,38660
1024,32,50,1,40,1,0.02,0.01,0.01,38376
1024,32,50,1,50,1,0.02,0.01,0.01,38304
1024,32,50,1,60,1,0.02,0.01,0.01,38284
1024,32,50,1,70,1,0.02,0.01,0.01,38252
1024,32,50,1,80,1,0.02,0.01,0.01,38000
1024,32,50,1,90,1,0.02,0.01,0.01,38280
1024,32,50,1,100,1,0.02,0.01,0.02,38204
1024,32,60,1,0,1,0.02,0.01,0.01,38204
