tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,4,20,0,100,77163,,,,
1024,64,50,0,100,77514,,,,
4096,64,10,0,100,77574,,,,
1024,64,50,0,20,77614,,,,
1024,64,50,0,80,77653,,,,
1024,4,20,0,0,77794,,,,
1024,2,20,0,50,77924,,,,
1024,64,50,0,10,78265,,,,
1024,64,50,0,0,78325,,,,
2048,4,20,0,100,78947,,,,
2048,64,10,0,60,79286,,,,
4096,8,20,0,80,79286,,,,
4096,4,20,0,70,79457,,,,
8192,64,10,0,90,80399,,,,
8192,4,20,0,30,80529,,,,
8192,4,20,0,60,80539,,,,
8192,4,20,0,80,81451,,,,
2048,8,20,0,100,81782,,,,
4096,4,20,0,60,82022,,,,
8192,8,20,0,20,83264,,,,
2048,64,10,0,10,83455,,,,
1024,32,10,0,40,83675,,,,
4096,8,20,0,70,83865,,,,
2048,2,20,0,70,84096,,,,
1024,64,60,0,90,85398,,,,
1024,64,60,0,0,85909,,,,
1024,32,10,0,90,85939,,,,
1024,32,20,0,90,86029,,,,
1024,64,60,0,40,86259,,,,
2048,64,20,0,60,86410,,,,
1024,32,20,0,50,86571,,,,
1024,64,60,0,20,86590,,,,
1024,64,60,0,60,86591,,,,
2048,64,20,0,70,86951,,,,
2048,2,30,0,60,87012,,,,
2048,64,20,0,80,87021,,,,
1024,64,60,0,100,87062,,,,
1024,32,20,0,10,87232,,,,
1024,64,60,0,10,87251,,,,
1024,32,20,0,0,87442,,,,
1024,32,20,0,30,87502,,,,
1024,32,20,0,100,87522,,,,
2048,2,30,0,50,87582,,,,
8192,64,10,0,80,87703,,,,
8192,32,10,0,100,87943,,,,
2048,64,20,0,100,88114,,,,
1024,64,60,0,30,88123,,,,
1024,64,60,0,70,88204,,,,
1024,64,60,0,50,88754,,,,
1024,32,20,0,60,88805,,,,
4096,32,10,0,0,89025,,,,
4096,2,30,0,70,89064,,,,
2048,64,20,0,0,89425,,,,
8192,64,10,0,70,89425,,,,
8192,32,10,0,50,89456,,,,
2048,64,20,0,40,89496,,,,
4096,2,30,0,100,89576,,,,
2048,64,20,0,50,89616,,,,
1024,32,20,0,40,89676,,,,
4096,2,30,0,60,89676,,,,
2048,2,30,0,70,89856,,,,
2048,2,30,0,80,90047,,,,
2048,2,30,0,0,90107,,,,
2048,64,20,0,10,90167,,,,
1024,2,30,0,0,90177,,,,
1024,32,20,0,20,90307,,,,
2048,2,30,0,20,90447,,,,
1024,2,30,0,80,90608,,,,
4096,2,30,0,50,90698,,,,
4096,32,10,0,60,91118,,,,
2048,32,10,0,70,91309,,,,
1024,4,30,0,0,91359,,,,
4096,2,30,0,10,91579,,,,
8192,64,10,0,50,91709,,,,
1024,2,30,0,70,92211,,,,
4096,2,30,0,80,92301,,,,
4096,2,30,0,30,92471,,,,
1024,32,20,0,70,92541,,,,
1024,2,30,0,40,92591,,,,
8192,4,30,0,0,93103,,,,
8192,2,30,0,80,93152,,,,
1024,4,30,0,100,93222,,,,
2048,4,30,0,40,93773,,,,
8192,2,30,0,40,94685,,,,
1024,2,30,0,30,94856,,,,
1024,4,30,0,50,95147,,,,
1024,2,30,0,50,95256,,,,
1024,2,30,0,20,95276,,,,
2048,4,30,0,30,95367,,,,
8192,2,30,0,70,95417,,,,
2048,64,20,0,30,95557,,,,
1024,64,50,0,60,95727,,,,
1024,2,30,0,100,95857,,,,
4096,4,30,0,0,95857,,,,
8192,2,30,0,60,95977,,,,
8192,2,30,0,50,96158,,,,
2048,4,30,0,20,96188,,,,
1024,4,30,0,90,96488,,,,
8192,2,30,0,90,96519,,,,
2048,4,30,0,50,97310,,,,
1024,4,30,0,80,97311,,,,
1024,16,20,0,20,97331,,,,
8192,4,30,0,80,97441,,,,
2048,4,30,0,90,97500,,,,
4096,4,30,0,60,97651,,,,
8192,2,30,0,10,97962,,,,
1024,32,30,0,50,98151,,,,
4096,4,30,0,50,98172,,,,
1024,4,30,0,10,98382,,,,
1024,4,30,0,40,98503,,,,
2048,64,30,0,20,98632,,,,
1024,32,30,0,0,98653,,,,
8192,4,30,0,70,98743,,,,
1024,32,30,0,30,98883,,,,
2048,4,30,0,80,98923,,,,
1024,32,30,0,80,99043,,,,
1024,32,30,0,60,99083,,,,
1024,4,30,0,30,99624,,,,
1024,32,20,0,80,99915,,,,
1024,16,20,0,30,99975,,,,
2048,4,30,0,60,99975,,,,
8192,4,30,0,100,99985,,,,
2048,32,20,0,0,100015,,,,
4096,4,30,0,40,100095,,,,
4096,2,30,0,90,100256,,,,
2048,64,30,0,70,100436,,,,
1024,32,30,0,40,100937,,,,
1024,32,30,0,90,100977,,,,
2048,64,30,0,10,101037,,,,
2048,64,30,0,80,101197,,,,
1024,32,30,0,100,101298,,,,
2048,2,30,0,100,101337,,,,
1024,16,20,0,70,101718,,,,
2048,64,30,0,50,101738,,,,
2048,64,30,0,0,101788,,,,
1024,16,20,0,50,101859,,,,
2048,16,20,0,70,101878,,,,
4096,16,20,0,0,101899,,,,
2048,4,30,0,10,101939,,,,
2048,16,20,0,0,102039,,,,
2048,4,30,0,0,102079,,,,
8192,4,30,0,50,102079,,,,
4096,4,30,0,80,102089,,,,
2048,64,30,0,60,102269,,,,
2048,16,20,0,60,102450,,,,
2048,16,20,0,50,102490,,,,
4096,16,20,0,70,102500,,,,
4096,2,30,0,20,102540,,,,
1024,16,20,0,40,102620,,,,
2048,16,20,0,20,102770,,,,
1024,32,30,0,10,102781,,,,
1024,16,20,0,80,102961,,,,
2048,16,20,0,100,103000,,,,
2048,2,30,0,40,103001,,,,
2048,64,30,0,90,103031,,,,
1024,16,20,0,60,103141,,,,
1024,16,20,0,90,103261,,,,
1024,16,20,0,0,103481,,,,
1024,32,30,0,70,103511,,,,
2048,16,20,0,80,103733,,,,
4096,2,30,0,40,103862,,,,
2048,64,30,0,40,103912,,,,
2048,4,30,0,100,104113,,,,
1024,16,20,0,10,104403,,,,
1024,4,30,0,20,104443,,,,
8192,16,20,0,0,104734,,,,
2048,32,20,0,20,104774,,,,
1024,64,60,0,80,104864,,,,
8192,4,30,0,10,104874,,,,
4096,16,20,0,20,104974,,,,
8192,4,30,0,20,105075,,,,
4096,16,20,0,60,105175,,,,
8192,16,20,0,90,105255,,,,
2048,32,20,0,90,105375,,,,
4096,16,20,0,90,105405,,,,
8192,32,20,0,50,105625,,,,
