tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
2048,16,30,1,100,376897,,,,
8192,2,50,1,20,376917,,,,
4096,64,100,1,100,376947,,,,
1024,64,100,1,60,376967,,,,
4096,16,40,1,100,376967,,,,
1024,2,60,1,20,376997,,,,
4096,32,50,1,40,376997,,,,
2048,8,20,1,70,377007,,,,
4096,2,60,1,100,377007,,,,
8192,32,10,1,70,377017,,,,
2048,2,30,1,10,377018,,,,
2048,64,20,1,60,377027,,,,
2048,8,30,1,70,377047,,,,
2048,8,10,1,100,377057,,,,
4096,32,100,1,20,377068,,,,
4096,2,20,1,80,377107,,,,
8192,8,100,1,40,377107,,,,
1024,32,60,1,60,377127,,,,
2048,2,40,1,80,377137,,,,
1024,32,50,1,30,377138,,,,
4096,64,30,1,10,377138,,,,
1024,16,20,1,90,377147,,,,
2048,64,30,1,80,377147,,,,
1024,32,50,1,50,377157,,,,
4096,8,40,1,100,377158,,,,
2048,16,100,1,50,377177,,,,
2048,16,20,1,70,377238,,,,
4096,64,60,1,60,377297,,,,
2048,2,40,1,40,377307,,,,
2048,8,10,1,30,377317,,,,
8192,2,40,1,80,377317,,,,
2048,4,10,1,80,377358,,,,
4096,8,20,1,60,377358,,,,
2048,4,60,1,60,377398,,,,
2048,16,30,1,70,377398,,,,
8192,4,40,1,60,377427,,,,
1024,16,60,1,50,377448,,,,
4096,64,60,1,0,377458,,,,
2048,16,40,1,80,377467,,,,
4096,4,100,1,30,377488,,,,
1024,4,30,1,20,377528,,,,
1024,64,30,1,70,377528,,,,
1024,2,60,1,80,377538,,,,
1024,16,100,1,50,377558,,,,
8192,16,10,1,50,377558,,,,
8192,8,30,1,90,377568,,,,
4096,16,100,1,60,377599,,,,
1024,64,20,1,90,377629,,,,
4096,32,10,1,50,377649,,,,
1024,32,60,1,20,377659,,,,
1024,64,50,1,40,377688,,,,
1024,64,10,1,70,377698,,,,
8192,8,10,1,40,377698,,,,
4096,2,100,1,30,377708,,,,
4096,64,100,1,20,377708,,,,
4096,8,60,1,60,377718,,,,
2048,4,10,1,20,377728,,,,
8192,8,50,1,70,377728,,,,
4096,8,30,1,90,377729,,,,
2048,2,100,1,0,377738,,,,
4096,8,30,1,30,377739,,,,
2048,8,30,1,90,377748,,,,
1024,8,30,1,100,377768,,,,
8192,8,40,1,70,377768,,,,
4096,64,100,1,70,377808,,,,
8192,64,100,1,60,377828,,,,
4096,8,10,1,70,377899,,,,
8192,2,30,1,10,377899,,,,
8192,8,30,1,10,377919,,,,
8192,8,40,1,80,377919,,,,
2048,2,30,1,80,377949,,,,
1024,16,50,1,70,377969,,,,
1024,4,10,1,10,377978,,,,
1024,32,10,1,60,377989,,,,
1024,16,20,1,70,378009,,,,
4096,64,30,1,20,378029,,,,
1024,32,100,1,70,378030,,,,
1024,32,100,1,100,378049,,,,
4096,2,40,1,20,378059,,,,
2048,2,40,1,20,378070,,,,
4096,2,100,1,90,378119,,,,
2048,64,20,1,70,378179,,,,
2048,64,60,1,60,378239,,,,
4096,8,30,1,40,378239,,,,
8192,32,100,1,70,378250,,,,
1024,8,30,1,50,378299,,,,
1024,64,50,1,100,378329,,,,
1024,2,40,1,60,378330,,,,
4096,8,50,1,100,378340,,,,
8192,8,100,1,70,378350,,,,
8192,64,10,1,20,378360,,,,
2048,16,40,1,90,378370,,,,
8192,4,50,1,70,378370,,,,
8192,64,100,1,80,378370,,,,
4096,16,40,1,10,378379,,,,
8192,4,30,1,70,378390,,,,
1024,64,20,1,50,378400,,,,
1024,32,100,1,10,378409,,,,
8192,4,100,1,80,378410,,,,
1024,2,50,1,30,378419,,,,
2048,16,60,1,10,378430,,,,
8192,8,100,1,50,378440,,,,
8192,2,20,1,40,378490,,,,
8192,32,30,1,80,378490,,,,
1024,32,100,1,60,378500,,,,
4096,8,20,1,30,378520,,,,
8192,16,60,1,20,378520,,,,
8192,2,10,1,30,378530,,,,
1024,2,100,1,80,378540,,,,
1024,16,100,1,30,378540,,,,
2048,16,100,1,0,378540,,,,
8192,64,20,1,40,378540,,,,
1024,4,20,1,100,378590,,,,
2048,64,100,1,100,378611,,,,
2048,2,40,1,100,378620,,,,
2048,4,60,1,30,378620,,,,
8192,8,60,1,70,378651,,,,
2048,8,60,1,40,378660,,,,
2048,16,40,1,10,378660,,,,
8192,2,10,1,90,378660,,,,
2048,2,60,1,90,378670,,,,
2048,32,20,1,20,378681,,,,
1024,32,30,1,40,378701,,,,
4096,8,30,1,80,378710,,,,
4096,64,100,1,0,378711,,,,
1024,16,10,1,80,378730,,,,
4096,8,100,1,60,378730,,,,
4096,64,30,1,60,378751,,,,
1024,32,40,1,90,378760,,,,
1024,2,20,1,50,378770,,,,
1024,64,10,1,0,378780,,,,
1024,32,100,1,40,378781,,,,
2048,16,40,1,60,378790,,,,
8192,4,40,1,70,378820,,,,
8192,16,10,1,90,378840,,,,
4096,4,30,1,90,378850,,,,
2048,32,50,1,90,378861,,,,
4096,64,60,1,10,378861,,,,
1024,64,20,1,30,378881,,,,
2048,8,50,1,100,378881,,,,
8192,4,10,1,10,378941,,,,
1024,2,30,1,50,378951,,,,
1024,2,50,1,70,378961,,,,
4096,4,10,1,30,378961,,,,
8192,32,20,1,50,378971,,,,
